transaction_id,account_number,amount,currency,transaction_date,status
TX-000001,10000008,65.32,USD,2026-09-01 06:52:03,FAILED
TX-000002,10000013,220.8,USD,2026-09-01 07:42:45,COMPLETED
TX-000003,10000004,164.79,USD,2026-09-01 08:06:24,COMPLETED
TX-000004,10000004,127.45,USD,2026-09-01 08:10:33,COMPLETED
TX-000005,10000006,257.23,USD,2026-09-01 08:40:15,COMPLETED
TX-000006,10000007,54.55,USD,2026-09-01 09:08:36,FAILED
TX-000008,10000017,121.14,USD,2026-09-01 09:53:23,COMPLETED
TX-000009,10000004,351.7,USD,2026-09-01 12:16:20,COMPLETED
TX-000011,10000019,59.81,USD,2026-09-01 13:28:37,COMPLETED
TX-000012,10000008,384.56,USD,2026-09-01 13:48:49,COMPLETED
TX-000013,10000011,78.42,USD,2026-09-01 14:01:32,FAILED
TX-000014,10000002,550.46,USD,2026-09-01 14:01:37,PENDING
TX-000015,10000016,143.82,USD,2026-09-01 15:11:01,COMPLETED
TX-000016,10000009,206.14,USD,2026-09-01 15:31:39,COMPLETED
TX-000017,10000011,193.31,USD,2026-09-01 16:01:40,COMPLETED
TX-000018,10000003,88.13,USD,2026-09-01 16:18:45,COMPLETED
TX-000019,10000006,52.83,USD,2026-09-01 16:34:59,COMPLETED
TX-000020,10000004,191.48,USD,2026-09-01 16:56:45,PENDING
TX-000021,10000005,370.56,USD,2026-09-02 09:56:44,PENDING
TX-000022,10000003,700.28,USD,2026-09-02 11:23:34,PENDING
TX-000024,10000007,63.78,USD,2026-09-02 12:09:55,PENDING
TX-000026,10000001,112.51,USD,2026-09-02 12:52:26,COMPLETED
TX-000027,10000013,437.8,USD,2026-09-02 12:59:25,COMPLETED
TX-000028,10000009,53.0,USD,2026-09-02 13:07:06,COMPLETED
TX-000029,10000003,129.52,USD,2026-09-02 13:11:41,COMPLETED
TX-000030,10000015,39.07,USD,2026-09-02 13:33:29,COMPLETED
TX-000031,10000008,657.84,USD,2026-09-02 13:42:54,COMPLETED
TX-000032,10000012,119.54,USD,2026-09-02 14:09:41,COMPLETED
TX-000033,10000015,75.89,USD,2026-09-02 14:51:45,COMPLETED
TX-000034,10000009,115.85,USD,2026-09-02 14:58:51,COMPLETED
TX-000035,10000020,52.25,USD,2026-09-02 15:09:31,COMPLETED
TX-000036,10000004,174.2,USD,2026-09-02 15:16:24,COMPLETED
TX-000037,10000010,498.82,USD,2026-09-02 15:59:04,COMPLETED
TX-000038,10000002,92.62,USD,2026-09-02 16:06:22,FAILED
TX-000039,10000014,137.23,USD,2026-09-02 17:59:25,COMPLETED
TX-000040,10000001,406.74,USD,2026-09-02 18:20:48,COMPLETED
TX-000041,10000013,88.62,USD,2026-09-02 18:51:42,COMPLETED
TX-000042,10000002,116.06,USD,2026-09-02 21:02:40,COMPLETED
TX-000044,10000019,69.55,USD,2026-09-03 06:26:56,COMPLETED
TX-000045,10000011,509.51,USD,2026-09-03 07:10:15,COMPLETED
TX-000047,10000014,173.35,USD,2026-09-03 08:20:27,COMPLETED
TX-000048,10000001,301.11,USD,2026-09-03 11:09:38,FAILED
TX-000049,10000020,589.51,USD,2026-09-03 11:10:34,COMPLETED
TX-000050,10000006,200.49,USD,2026-09-03 11:22:45,FAILED
TX-000051,10000013,153.36,USD,2026-09-03 11:30:22,PENDING
TX-000052,10000009,334.06,USD,2026-09-03 12:17:35,COMPLETED
TX-000053,10000007,112.74,USD,2026-09-03 12:32:43,COMPLETED
TX-000054,10000010,131.99,USD,2026-09-03 13:13:00,COMPLETED
TX-000056,10000012,117.86,USD,2026-09-03 13:27:42,FAILED
TX-000057,10000007,300.0,USD,2026-09-03 13:32:27,COMPLETED
TX-000058,10000013,43.01,USD,2026-09-03 13:36:42,COMPLETED
TX-000059,10000003,563.84,USD,2026-09-03 14:06:07,COMPLETED
TX-000060,10000006,11.56,USD,2026-09-03 14:12:07,FAILED
TX-000061,10000020,1409.81,USD,2026-09-03 14:49:35,COMPLETED
TX-000062,10000010,187.07,USD,2026-09-03 14:55:51,COMPLETED
TX-000063,10000019,107.89,USD,2026-09-03 15:16:48,COMPLETED
TX-000064,10000013,132.67,USD,2026-09-03 15:35:16,COMPLETED
TX-000065,10000002,83.5,USD,2026-09-03 15:39:50,PENDING
TX-000066,10000001,404.89,USD,2026-09-03 15:41:55,FAILED
TX-000067,10000020,47.2,USD,2026-09-03 16:21:58,FAILED
TX-000068,10000012,566.08,USD,2026-09-03 16:22:59,PENDING
TX-000069,10000002,162.92,USD,2026-09-03 17:54:24,COMPLETED
TX-000070,10000011,351.49,USD,2026-09-03 20:57:49,COMPLETED
TX-000071,10000001,93.6,USD,2026-09-03 22:37:55,COMPLETED
TX-000072,10000009,376.58,USD,2026-09-04 06:32:20,PENDING
TX-000073,10000003,51.26,USD,2026-09-04 06:55:38,COMPLETED
TX-000074,10000001,601.58,USD,2026-09-04 08:23:55,COMPLETED
TX-000075,10000010,474.93,USD,2026-09-04 08:36:29,FAILED
TX-000076,10000004,100.87,USD,2026-09-04 08:41:55,FAILED
TX-000077,10000008,526.76,USD,2026-09-04 08:43:39,COMPLETED
TX-000078,10000002,424.32,USD,2026-09-04 09:28:44,COMPLETED
TX-000079,10000002,77.03,USD,2026-04-09 09:30:00,FAILED
TX-000080,10000003,531.72,USD,2026-09-04 09:43:23,COMPLETED
TX-000081,10000002,155.04,USD,2026-09-04 09:52:52,COMPLETED
TX-000082,10000003,192.66,USD,2026-09-04 09:57:00,PENDING
TX-000083,10000008,45.69,USD,2026-09-04 10:19:49,COMPLETED
TX-000084,10000015,88.99,USD,2026-09-04 10:35:33,COMPLETED
TX-000085,10000010,229.64,USD,2026-09-04 10:42:21,COMPLETED
TX-000087,10000012,149.94,USD,2026-09-04 11:05:05,COMPLETED
TX-000088,10000011,1184.9,USD,2026-09-04 11:45:03,COMPLETED
TX-000089,10000007,399.82,USD,2026-09-04 11:54:09,COMPLETED
TX-000090,10000007,233.98,USD,2026-09-04 11:58:18,COMPLETED
TX-000091,10000014,186.16,USD,2026-09-04 12:02:47,COMPLETED
TX-000092,10000004,269.47,USD,2026-09-04 12:09:30,COMPLETED
TX-000093,10000015,219.63,USD,2026-09-04 12:40:25,COMPLETED
TX-000094,10000013,68.19,USD,2026-09-04 12:55:26,COMPLETED
TX-000095,10000013,771.72,USD,2026-09-04 13:03:26,COMPLETED
TX-000096,10000003,60.52,USD,2026-09-04 13:10:38,FAILED
TX-000097,10000011,755.36,USD,2026-09-04 13:13:54,COMPLETED
