transaction_id,account_number,amount,currency,transaction_date,status
TX-000007,10000005,57.96,USD,2026-09-01 09:47:18,FAILED
TX-000010,10000001,105.47,USD,2026-09-01 12:41:16,COMPLETED
TX-000023,10000004,113.08,USD,2026-09-02 11:40:59,FAILED
TX-000025,10000018,234.09,USD,2026-09-02 12:52:11,COMPLETED
TX-000043,10000008,155.62,USD,2026-09-02 21:12:41,COMPLETED
TX-000046,10000001,147.72,USD,2026-09-03 07:50:01,PENDING
TX-000055,10000020,72.92,USD,2026-09-03 13:23:25,UNKNOWN
TX-000086,10000017,-134.43,USD,2026-09-04 10:51:06,COMPLETED
TX-000101,10000005,,USD,2026-09-04 14:05:56,FAILED
TX-000007,10000005,57.96,USD,2026-09-01 09:47:18,FAILED
TX-000010,10000006,19.34,USD,2026-09-05 09:07:20,FAILED
TX-000129,10000010,48.03,EUR,2026-09-05 14:59:47,COMPLETED
TX-000143,10000017,,USD,2026-09-06 09:50:34,COMPLETED
,10000014,330.91,USD,2026-09-06 10:01:34,COMPLETED
TX-000148,10000009,321.96,USD,2026-09-06 11:24:17,
TX-000150,10000020,0.0,USD,2026-09-06 11:45:34,FAILED
TX-000163,10000004,,USD,2026-09-06 18:06:43,COMPLETED
TX-000173,10000015,89.62,XXX,2026-09-07 10:42:37,COMPLETED
TX-000181,10000010,77.06,,2026-09-07 13:10:24,PENDING
TX-000185,10000010,,USD,2026-09-07 14:34:18,COMPLETED
TX-000194,10000013,113.74,USD,2026-09-07 20:35:03,REVERSED
TX-000200,10000018,9.82,USD,,COMPLETED
TX-000205,10000004,123.3,USD,2026-09-08 14:46:17,
TX-000238,10000007,29.47,USD,2026-09-09 16:12:47,UNKNOWN
TX-000025,10000019,1066.09,USD,2026-09-10 09:14:32,FAILED
TX-000249,10000004,-104.28,USD,2026-09-10 10:14:47,FAILED
TX-000290,10000007,223.61,XXX,2026-09-11 14:11:37,PENDING
TX-000295,,283.7,USD,2026-09-11 16:35:05,PENDING
TX-000320,10000011,0.0,USD,2026-09-12 18:53:22,PENDING
,10000004,263.13,USD,2026-09-13 08:22:00,COMPLETED
TX-000341,10000004,54.78,USD,2026-09-13 16:05:39,REVERSED
TX-000345,10000016,,USD,2026-09-13 23:14:55,FAILED
TX-000372,10000003,60.85,USD,,COMPLETED
TX-000384,10000015,-243.86,USD,2026-09-15 12:17:14,COMPLETED
TX-000412,10000011,-990.69,USD,2026-09-16 14:51:20,COMPLETED
TX-000023,10000004,113.08,USD,2026-09-02 11:40:59,FAILED
TX-000416,10000020,852.93,EUR,2026-09-16 15:48:49,COMPLETED
TX-000423,10000013,82.81,,2026-09-16 17:19:12,COMPLETED
TX-000043,10000008,155.62,USD,2026-09-02 21:12:41,COMPLETED
TX-000438,10000001,912.38,EUR,2026-09-17 10:57:51,FAILED
,10000014,462.54,USD,2026-09-17 11:39:32,COMPLETED
TX-000444,10000002,200.2,USD,,COMPLETED
,10000016,240.64,USD,2026-09-17 14:42:54,FAILED
TX-000462,10000014,,USD,2026-09-17 17:59:42,COMPLETED
TX-000046,10000006,195.23,USD,2026-09-17 20:12:12,FAILED
TX-000480,,60.57,USD,2026-09-18 11:38:30,COMPLETED
TX-000484,10000007,261.81,USD,2026-09-18 13:26:02,UNKNOWN
TX-000489,10000012,,USD,2026-09-18 14:37:55,COMPLETED
TX-000497,,120.43,USD,2026-09-18 17:09:10,COMPLETED
